1,CamScanner + | PDF Scanner,Productivity,https://apps.apple.com/in/app/camscanner-pdf-scanner/id388624839?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
2,Infinite Flight Simulator,Games,https://apps.apple.com/in/app/infinite-flight-simulator/id471341991?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
3,FILCA - SLR Film Camera,Photo & Video,https://apps.apple.com/in/app/filca-slr-film-camera/id1436429074?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
4,DSLR Camera,Photo & Video,https://apps.apple.com/in/app/dslr-camera/id914386930?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
5,TocTak Camera -35mm Film Photo,Photo & Video,https://apps.apple.com/in/app/toctak-camera-35mm-film-photo/id1299722202?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
6,Minecraft,Games,https://apps.apple.com/in/app/minecraft/id479516143?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
7,Getting Over It,Games,https://apps.apple.com/in/app/getting-over-it/id1319618742?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
8,Voice Recorder - Audio Record,Business,https://apps.apple.com/in/app/voice-recorder-audio-record/id936694037?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
9,iTablaPro,Music,https://apps.apple.com/in/app/itablapro/id337350026?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
10,Rebel Inc.,Games,https://apps.apple.com/in/app/rebel-inc/id1439187947?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
11,TouchRetouch,Photo & Video,https://apps.apple.com/in/app/touchretouch/id373311252?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
12,Construction Simulator 3,Games,https://apps.apple.com/in/app/construction-simulator-3/id1439889483?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
13,Football Manager 2019 Mobile,Games,https://apps.apple.com/in/app/football-manager-2019-mobile/id1437397276?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
14,Stotra Nidhi,Books,https://apps.apple.com/in/app/stotra-nidhi/id981063067?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
15,see/saw,Games,https://apps.apple.com/in/app/see-saw/id1200202714?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
16,Ricky Carmichael's Motocross Matchup Pro,Games,https://apps.apple.com/in/app/ricky-carmichaels-motocross-matchup-pro/id463869460?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
17,Slow Shutter Cam,Photo & Video,https://apps.apple.com/in/app/slow-shutter-cam/id357404131?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
18,Camera+ 2,Photo & Video,https://apps.apple.com/in/app/camera-2/id1313580627?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
19,Plague Inc.,Games,https://apps.apple.com/in/app/plague-inc/id525818839?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
20,My Contacts Backup Pro,Productivity,https://apps.apple.com/in/app/my-contacts-backup-pro/id466388978?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
21,FiLMiC Pro-Video Camera,Photo & Video,https://apps.apple.com/in/app/filmic-pro-video-camera/id436577167?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
22,Heads Up!,Games,https://apps.apple.com/in/app/heads-up/id623592465?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
23,Spy hidden camera Detector,Utilities,https://apps.apple.com/in/app/spy-hidden-camera-detector/id925967783?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
24,GoodReader PDF Editor & Viewer,Productivity,https://apps.apple.com/in/app/goodreader-pdf-editor-viewer/id777310222?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
25,Memos - Private Search,Photo & Video,https://apps.apple.com/in/app/memos-private-search/id1462847532?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
26,Whatscan Pro for Whatsweb,Social Networking,https://apps.apple.com/in/app/whatscan-pro-for-whatsweb/id1169644201?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
27,NBA 2K19,Games,https://apps.apple.com/in/app/nba-2k19/id1412321065?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
28,FE File Explorer Pro,Utilities,https://apps.apple.com/in/app/fe-file-explorer-pro/id499470113?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
29,Hidden Spy Camera Detector,Utilities,https://apps.apple.com/in/app/hidden-spy-camera-detector/id1341298455?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
30,Afterlight 2,Photo & Video,https://apps.apple.com/in/app/afterlight-2/id1293122457?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
31,AirAttack 2,Games,https://apps.apple.com/in/app/airattack-2/id842617644?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
32,Halide + Spectre Kit,Photo & Video,https://apps.apple.com/in/app-bundle/halide-spectre-kit/id1462386180&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
33,LumaFusion,Photo & Video,https://apps.apple.com/in/app/lumafusion/id1062022008?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
34,Forest - Stay focused,Productivity,https://apps.apple.com/in/app/forest-stay-focused/id866450515?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
35,Procreate Pocket,Entertainment,https://apps.apple.com/in/app/procreate-pocket/id916366645?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
36,Video Split for WhatsApp,Social Networking,https://apps.apple.com/in/app/video-split-for-whatsapp/id1472952480?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
37,Lock for Instagram - Password & Code Protection,Utilities,https://apps.apple.com/in/app/lock-for-instagram-password-code-protection/id1118167119?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
38,Crypt of the NecroDancer,Games,https://apps.apple.com/in/app/crypt-of-the-necrodancer/id1085123968?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
39,GNIB Appointments,Travel,https://apps.apple.com/in/app/gnib-appointments/id1361309535?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
40,Monster Trucks Kids Racing Game,Games,https://apps.apple.com/in/app/monster-trucks-kids-racing-game/id1112826306?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
41,Halide Camera,Photo & Video,https://apps.apple.com/in/app/halide-camera/id885697368?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
42,SHAREit Pro,Productivity,https://apps.apple.com/in/app/shareit-pro/id1126314052?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
43,Street Kart Racing,Games,https://apps.apple.com/in/app/street-kart-racing/id727544019?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
44,BADLAND 2,Games,https://apps.apple.com/in/app/badland-2/id1007120869?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
45,Earn to Die 2,Games,https://apps.apple.com/in/app/earn-to-die-2/id891194610?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
46,Assassin's Creed Identity,Games,https://apps.apple.com/in/app/assassins-creed-identity/id880971164?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
47,ProCam 6,Photo & Video,https://apps.apple.com/in/app/procam-6/id730712409?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
48,Facetune,Photo & Video,https://apps.apple.com/in/app/facetune/id606310581?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
49,Bloons TD 6,Games,https://apps.apple.com/in/app/bloons-td-6/id1118115766?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
50,Mirror for Sony Smart TV,Photo & Video,https://apps.apple.com/in/app/mirror-for-sony-smart-tv/id1249389812?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
51,Pocket Casts,News,https://apps.apple.com/in/app/pocket-casts/id414834813?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
52,Scanner Pro: PDF Scanner & Fax,Business,https://apps.apple.com/in/app/scanner-pro-pdf-scanner-fax/id333710667?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
53,Cut the Rope: Time Travel,Games,https://apps.apple.com/in/app/cut-the-rope-time-travel/id608899141?uo=4&v0=WWW-APIN-ITSTOP100-PAIDAPPS&l=en
